Año,Mes,Nombre Servicio,Departamento,Municipio,Componente,Total
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,CRIOPRECIPITADO,14
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),8
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,114
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS,5
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,PLASMA FRESCO CONGELADO,14
2024,ENERO,CLINICA SAN JUAN DE DIOS LA CEJA,ANTIOQUIA,LA CEJA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,46
2024,ENERO,CLINICA SAN JUAN DE DIOS LA CEJA,ANTIOQUIA,LA CEJA,PLASMA FRESCO CONGELADO,9
2024,ENERO,ESE HOSPITAL CESAR URIBE PIEDRAHITA,ANTIOQUIA,CAUCASIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,46
2024,ENERO,CLINICA UNIVERSITARIA BOLIVARIANA,ANTIOQUIA,MEDELLÍN,ALICUOTA DE GLOBULOS ROJOS FILTRADA,57
2024,ENERO,CLINICA UNIVERSITARIA BOLIVARIANA,ANTIOQUIA,MEDELLÍN,CRIOPRECIPITADO,77
2024,ENERO,CLINICA UNIVERSITARIA BOLIVARIANA,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),85
2024,ENERO,CLINICA UNIVERSITARIA BOLIVARIANA,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,101
2024,ENERO,CLINICA UNIVERSITARIA BOLIVARIANA,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS,22
2024,ENERO,CLINICA UNIVERSITARIA BOLIVARIANA,ANTIOQUIA,MEDELLÍN,PLAQUETAS ESTANDAR FILTRADAS,9
2024,ENERO,CLINICA UNIVERSITARIA BOLIVARIANA,ANTIOQUIA,MEDELLÍN,PLASMA FRESCO CONGELADO,69
2024,ENERO,PROMOTORA MEDICA LAS AMERICAS S.A,ANTIOQUIA,MEDELLÍN,ALICUOTA DE GLOBULOS ROJOS FILTRADA,4
2024,ENERO,PROMOTORA MEDICA LAS AMERICAS S.A,ANTIOQUIA,MEDELLÍN,ALICUOTA PLAQUETAS AFERESIS,3
2024,ENERO,PROMOTORA MEDICA LAS AMERICAS S.A,ANTIOQUIA,MEDELLÍN,ALICUOTA PLAQUETAS AFERESIS FILTRADA IRRADIADA,3
2024,ENERO,PROMOTORA MEDICA LAS AMERICAS S.A,ANTIOQUIA,MEDELLÍN,CRIOPRECIPITADO,128
2024,ENERO,PROMOTORA MEDICA LAS AMERICAS S.A,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),604
2024,ENERO,PROMOTORA MEDICA LAS AMERICAS S.A,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS LEUCORREDUCIDOS IRRADIADOS,16
2024,ENERO,PROMOTORA MEDICA LAS AMERICAS S.A,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS FILTRADAS,158
2024,ENERO,PROMOTORA MEDICA LAS AMERICAS S.A,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS FILTRADAS IRRADIADAS,42
2024,ENERO,PROMOTORA MEDICA LAS AMERICAS S.A,ANTIOQUIA,MEDELLÍN,PLASMA FRESCO CONGELADO,145
2024,ENERO,ESE HOSPITAL CESAR URIBE PIEDRAHITA SEDE PUERTO BERRIO,ANTIOQUIA,CAUCASIA,GLOBULOS ROJOS ESTANDAR,26
2024,ENERO,UNIDAD HOSPITALARIA DE CASTILLA JAIME TOBON ARBELAEZ,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,12
2024,ENERO,UNIDAD HOSPITALARIA DE CASTILLA JAIME TOBON ARBELAEZ,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS,1
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,ALICUOTA DE GLOBULOS ROJOS FILTRADA,1
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,ALICUOTA DE GLOBULOS ROJOS FILTRADA IRRADIADA,5
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,CRIOPRECIPITADO,71
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),175
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS LEUCORREDUCIDOS IRRADIADOS,119
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,584
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS IRRADIADOS,10
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS FILTRADAS,9
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS FILTRADAS IRRADIADAS,225
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS IRRADIADAS,6
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,PLAQUETAS ESTANDAR,48
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,PLAQUETAS ESTANDAR IRRADIADAS,33
2024,ENERO,HOSPITAL PABLO TOBON URIBE,ANTIOQUIA,MEDELLÍN,PLASMA FRESCO CONGELADO,380
2024,ENERO,SYNLAB SEDE INTERQUIROFANOS,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,7
2024,ENERO,SYNLAB SEDE INTERQUIROFANOS,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS,1
2024,ENERO,SYNLAB SEDE INTERQUIROFANOS,ANTIOQUIA,MEDELLÍN,PLASMA FRESCO CONGELADO,6
2024,ENERO,LABORATORIO MEDICO DE REFERENCIA,ANTIOQUIA,MEDELLÍN,CRIOPRECIPITADO,2
2024,ENERO,LABORATORIO MEDICO DE REFERENCIA,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),1
2024,ENERO,LABORATORIO MEDICO DE REFERENCIA,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,95
2024,ENERO,LABORATORIO MEDICO DE REFERENCIA,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS,3
2024,ENERO,LABORATORIO MEDICO DE REFERENCIA,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS FILTRADAS,5
2024,ENERO,LABORATORIO MEDICO DE REFERENCIA,ANTIOQUIA,MEDELLÍN,PLASMA FRESCO AFERESIS,1
2024,ENERO,LABORATORIO MEDICO DE REFERENCIA,ANTIOQUIA,MEDELLÍN,PLASMA FRESCO CONGELADO,2
2024,ENERO,HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ E.S.E,ANTIOQUIA,MEDELLÍN,ALICUOTA DE GLOBULOS ROJOS FILTRADA,22
2024,ENERO,HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ E.S.E,ANTIOQUIA,MEDELLÍN,ALICUOTA PLAQUETAS AFERESIS,4
2024,ENERO,HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ E.S.E,ANTIOQUIA,MEDELLÍN,CRIOPRECIPITADO,106
2024,ENERO,HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ E.S.E,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),482
2024,ENERO,HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ E.S.E,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,5
2024,ENERO,HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ E.S.E,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS FILTRADAS,55
2024,ENERO,HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ E.S.E,ANTIOQUIA,MEDELLÍN,PLASMA FRESCO CONGELADO,114
2024,ENERO,E.S.E HOSPITAL SAN JUAN DE DIOS ANTIOQUIA,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,43
2024,ENERO,SYNLAB SEDE EL TESORO,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,16
2024,ENERO,SYNLAB SEDE EL TESORO,ANTIOQUIA,MEDELLÍN,PLAQUETAS ESTANDAR POBRES EN LEUCOCITOS,2
2024,ENERO,CLINICA CENTRAL FUNDADORES,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),3
2024,ENERO,CLINICA CENTRAL FUNDADORES,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,88
2024,ENERO,CLINICA CENTRAL FUNDADORES,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS,3
2024,ENERO,CLINICA CENTRAL FUNDADORES,ANTIOQUIA,MEDELLÍN,PLASMA FRESCO CONGELADO,14
2024,ENERO,FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO,ANTIOQUIA,RIONEGRO,CRIOPRECIPITADO,156
2024,ENERO,FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO,ANTIOQUIA,RIONEGRO,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),11
2024,ENERO,FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO,ANTIOQUIA,RIONEGRO,GLOBULOS ROJOS LEUCORREDUCIDOS IRRADIADOS,6
2024,ENERO,FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO,ANTIOQUIA,RIONEGRO,GLOBULOS ROJOS POBRES EN LEUCOCITOS,337
2024,ENERO,FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO,ANTIOQUIA,RIONEGRO,GLOBULOS ROJOS POBRES EN LEUCOCITOS IRRADIADOS,7
2024,ENERO,FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO,ANTIOQUIA,RIONEGRO,PLAQUETAS AFERESIS FILTRADAS,83
2024,ENERO,FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO,ANTIOQUIA,RIONEGRO,PLAQUETAS AFERESIS FILTRADAS IRRADIADAS,36
2024,ENERO,FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO,ANTIOQUIA,RIONEGRO,PLASMA FRESCO CONGELADO,125
2024,ENERO,CLINICA VIDA SEDE HOSPITALARIA,ANTIOQUIA,MEDELLÍN,CRIOPRECIPITADO,240
2024,ENERO,CLINICA VIDA SEDE HOSPITALARIA,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),424
2024,ENERO,CLINICA VIDA SEDE HOSPITALARIA,ANTIOQUIA,MEDELLÍN,PLAQUETAS AFERESIS,142
2024,ENERO,CLINICA VIDA SEDE HOSPITALARIA,ANTIOQUIA,MEDELLÍN,PLASMA FRESCO CONGELADO,90
2024,ENERO,ESPECIALIDADES MEDICAS METROPOLITANAS S.A.S.,ANTIOQUIA,BELLO,CRIOPRECIPITADO,24
2024,ENERO,ESPECIALIDADES MEDICAS METROPOLITANAS S.A.S.,ANTIOQUIA,BELLO,GLOBULOS ROJOS POBRES EN LEUCOCITOS,62
2024,ENERO,ESPECIALIDADES MEDICAS METROPOLITANAS S.A.S.,ANTIOQUIA,BELLO,PLAQUETAS AFERESIS,9
2024,ENERO,ESPECIALIDADES MEDICAS METROPOLITANAS S.A.S.,ANTIOQUIA,BELLO,PLASMA FRESCO CONGELADO,19
2024,ENERO,UNLAB SOMA sede Chigorodó,ANTIOQUIA,CHIGORODÓ,GLOBULOS ROJOS POBRES EN LEUCOCITOS,21
2024,ENERO,UNLAB SOMA sede Chigorodó,ANTIOQUIA,CHIGORODÓ,PLASMA FRESCO CONGELADO,7
2024,ENERO,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,ANTIOQUIA,RIONEGRO,ALICUOTA DE GLOBULOS ROJOS POBRES EN LEUCOCITOS,4
2024,ENERO,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,ANTIOQUIA,RIONEGRO,GLOBULOS ROJOS POBRES EN LEUCOCITOS,103
2024,ENERO,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,ANTIOQUIA,RIONEGRO,PLAQUETAS AFERESIS FILTRADAS,5
2024,ENERO,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,ANTIOQUIA,RIONEGRO,PLASMA FRESCO CONGELADO,10
2024,ENERO,MESSER COLOMBIA S.A. AGENCIA REMEO CENTER MEDELLIN,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,4
2024,ENERO,CENTRO ONCOLOGICO DE ANTIOQUIA S.A.,ANTIOQUIA,ENVIGADO,CRIOPRECIPITADO,10
2024,ENERO,CENTRO ONCOLOGICO DE ANTIOQUIA S.A.,ANTIOQUIA,ENVIGADO,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),304
2024,ENERO,CENTRO ONCOLOGICO DE ANTIOQUIA S.A.,ANTIOQUIA,ENVIGADO,GLOBULOS ROJOS LEUCORREDUCIDOS IRRADIADOS,8
2024,ENERO,CENTRO ONCOLOGICO DE ANTIOQUIA S.A.,ANTIOQUIA,ENVIGADO,PLAQUETAS AFERESIS FILTRADAS,220
2024,ENERO,CENTRO ONCOLOGICO DE ANTIOQUIA S.A.,ANTIOQUIA,ENVIGADO,PLAQUETAS AFERESIS FILTRADAS IRRADIADAS,1
2024,ENERO,CENTRO ONCOLOGICO DE ANTIOQUIA S.A.,ANTIOQUIA,ENVIGADO,PLASMA FRESCO CONGELADO,28
2024,ENERO,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE YOLOMBO,ANTIOQUIA,YOLOMBÓ,GLOBULOS ROJOS POBRES EN LEUCOCITOS,39
2024,ENERO,UNIDAD HOSPITALARIA SANTA CRUZ VICTOR CARDENAS JARAMILLO,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,15
2024,ENERO,CORPORACION HOSPITAL INFANTIL CONCEJO DE MEDELLIN,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,1
2024,ENERO,E.S.E. HOSPITAL SAN RAFAEL DE ITAGUI,ANTIOQUIA,ITAGUI,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),7
2024,ENERO,E.S.E. HOSPITAL SAN RAFAEL DE ITAGUI,ANTIOQUIA,ITAGUI,GLOBULOS ROJOS POBRES EN LEUCOCITOS,1
2024,ENERO,HOSPITAL MANUEL URIBE ANGEL E.S.E,ANTIOQUIA,ENVIGADO,ALICUOTA DE GLOBULOS ROJOS FILTRADA,27
2024,ENERO,HOSPITAL MANUEL URIBE ANGEL E.S.E,ANTIOQUIA,ENVIGADO,ALICUOTA PLASMA FRESCO CONGELADO,5
2024,ENERO,HOSPITAL MANUEL URIBE ANGEL E.S.E,ANTIOQUIA,ENVIGADO,CRIOPRECIPITADO,82
2024,ENERO,HOSPITAL MANUEL URIBE ANGEL E.S.E,ANTIOQUIA,ENVIGADO,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),114
2024,ENERO,HOSPITAL MANUEL URIBE ANGEL E.S.E,ANTIOQUIA,ENVIGADO,GLOBULOS ROJOS POBRES EN LEUCOCITOS,273
2024,ENERO,HOSPITAL MANUEL URIBE ANGEL E.S.E,ANTIOQUIA,ENVIGADO,PLAQUETAS AFERESIS,50
2024,ENERO,HOSPITAL MANUEL URIBE ANGEL E.S.E,ANTIOQUIA,ENVIGADO,PLASMA FRESCO AFERESIS,31
2024,ENERO,HOSPITAL MANUEL URIBE ANGEL E.S.E,ANTIOQUIA,ENVIGADO,PLASMA FRESCO CONGELADO,25
2024,ENERO,PROMOTORA CLINICA ZONA FRANCA DE URABA,ANTIOQUIA,APARTADÓ,CRIOPRECIPITADO,6
2024,ENERO,PROMOTORA CLINICA ZONA FRANCA DE URABA,ANTIOQUIA,APARTADÓ,GLOBULOS ROJOS POBRES EN LEUCOCITOS,466
2024,ENERO,PROMOTORA CLINICA ZONA FRANCA DE URABA,ANTIOQUIA,APARTADÓ,PLAQUETAS ESTANDAR POBRES EN LEUCOCITOS,106
2024,ENERO,PROMOTORA CLINICA ZONA FRANCA DE URABA,ANTIOQUIA,APARTADÓ,PLASMA FRESCO CONGELADO,64
2024,ENERO,CEDIMED POBLADO,ANTIOQUIA,MEDELLÍN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),15
2024,ENERO,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,ANTIOQUIA,MEDELLÍN,ALICUOTA DE GLOBULOS ROJOS FILTRADA,42
2024,ENERO,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,ANTIOQUIA,MEDELLÍN,ALICUOTA DE GLOBULOS ROJOS FILTRADA IRRADIADA,5
2024,ENERO,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,ANTIOQUIA,MEDELLÍN,ALICUOTA DE GLOBULOS ROJOS IRRADIADA,2
