Id Servicio,Satisfacción,% SATISFACCION,Año,Mes,Nombre del Servicio,Departamento,Codigo Banco,Nombre Banco,Componente,Solicitados,Entregados
20.0,100.0,100.0,2017.0,MARZO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,PLAQUETAS AFERESIS,10.0,10.0
20.0,96.82539682539682,96.82539682539682,2017.0,MARZO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,63.0,61.0
20.0,100.0,100.0,2017.0,MARZO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),19.0,19.0
20.0,20.0,20.0,2017.0,MARZO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,CRIOPRECIPITADO,5.0,1.0
20.0,90.0,90.0,2017.0,MARZO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,PLASMA FRESCO CONGELADO,30.0,27.0
20.0,100.0,100.0,2017.0,MARZO,LABORATORIO TEST,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,2.0,2.0
20.0,100.0,100.0,2017.0,MARZO,LABORATORIO TEST,ANTIOQUIA,05-001-6  ,CLINICA CARDIO VID,GLOBULOS ROJOS POBRES EN LEUCOCITOS,1.0,1.0
21.0,100.0,100.0,2017.0,SEPTIEMBRE,SOMELAB,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,5.0,5.0
21.0,100.0,100.0,2017.0,SEPTIEMBRE,SOMELAB,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,8.0,8.0
21.0,100.0,100.0,2017.0,SEPTIEMBRE,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,8.0,8.0
21.0,100.0,100.0,2017.0,SEPTIEMBRE,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,PLAQUETAS ESTANDAR,3.0,3.0
21.0,100.0,100.0,2017.0,ENERO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,17.0,17.0
21.0,100.0,100.0,2017.0,ENERO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,PLAQUETAS AFERESIS,6.0,6.0
21.0,100.0,100.0,2017.0,FEBRERO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,21.0,21.0
21.0,100.0,100.0,2017.0,FEBRERO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,PLAQUETAS AFERESIS,6.0,6.0
21.0,100.0,100.0,2017.0,FEBRERO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,PLASMA FRESCO CONGELADO,10.0,10.0
21.0,100.0,100.0,2017.0,MARZO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,23.0,23.0
21.0,100.0,100.0,2017.0,MARZO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,PLAQUETAS AFERESIS,6.0,6.0
21.0,100.0,100.0,2017.0,MARZO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,PLASMA FRESCO CONGELADO,9.0,9.0
21.0,100.0,100.0,2017.0,ABRIL,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,28.0,28.0
21.0,100.0,100.0,2017.0,ABRIL,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,PLASMA FRESCO CONGELADO,9.0,9.0
21.0,100.0,100.0,2017.0,MAYO,SOMELAB,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,4.0,4.0
21.0,100.0,100.0,2017.0,MAYO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,12.0,12.0
21.0,100.0,100.0,2017.0,MAYO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,PLASMA FRESCO CONGELADO,16.0,16.0
21.0,100.0,100.0,2017.0,JUNIO,SOMELAB,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,7.0,7.0
21.0,100.0,100.0,2017.0,JUNIO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,13.0,13.0
21.0,100.0,100.0,2017.0,JUNIO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,PLAQUETAS ESTANDAR,6.0,6.0
21.0,100.0,100.0,2017.0,JUNIO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,PLASMA FRESCO CONGELADO,6.0,6.0
21.0,100.0,100.0,2017.0,JULIO,SOMELAB,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,4.0,4.0
21.0,100.0,100.0,2017.0,JULIO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,15.0,15.0
21.0,100.0,100.0,2017.0,AGOSTO,SOMELAB,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,11.0,11.0
21.0,100.0,100.0,2017.0,AGOSTO,SOMELAB,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,PLAQUETAS AFERESIS,1.0,1.0
21.0,100.0,100.0,2017.0,AGOSTO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,11.0,11.0
21.0,100.0,100.0,2017.0,AGOSTO,SOMELAB,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,PLASMA FRESCO CONGELADO,13.0,13.0
20.0,100.0,100.0,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,4.0,4.0
20.0,100.0,100.0,2017.0,MARZO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,4.0,4.0
20.0,92.7710843373494,92.7710843373494,2017.0,ABRIL,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,83.0,77.0
20.0,100.0,100.0,2017.0,ABRIL,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,8.0,8.0
20.0,66.66666666666666,66.66666666666666,2017.0,ABRIL,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,PLAQUETAS AFERESIS,15.0,10.0
20.0,75.0,75.0,2017.0,ABRIL,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,44.0,33.0
20.0,100.0,100.0,2017.0,ABRIL,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),23.0,23.0
20.0,100.0,100.0,2017.0,ABRIL,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,CRIOPRECIPITADO,16.0,16.0
20.0,100.0,100.0,2017.0,ABRIL,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,PLASMA FRESCO CONGELADO,34.0,34.0
20.0,82.08955223880598,82.08955223880598,2017.0,MAYO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,67.0,55.0
20.0,100.0,100.0,2017.0,MAYO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,12.0,12.0
20.0,92.85714285714286,92.85714285714286,2017.0,MAYO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,PLAQUETAS AFERESIS,14.0,13.0
20.0,95.83333333333334,95.83333333333334,2017.0,MAYO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,72.0,69.0
20.0,100.0,100.0,2017.0,MAYO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),24.0,24.0
20.0,92.3076923076923,92.3076923076923,2017.0,MAYO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,PLAQUETAS AFERESIS,13.0,12.0
20.0,100.0,100.0,2017.0,MAYO,LABORATORIO TEST,ANTIOQUIA,76-001-23 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE CALI,CRIOPRECIPITADO,14.0,14.0
20.0,87.71929824561403,87.71929824561403,2017.0,MAYO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,PLASMA FRESCO CONGELADO,57.0,50.0
20.0,100.0,100.0,2017.0,MAYO,LABORATORIO TEST,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,1.0,1.0
20.0,100.0,100.0,2017.0,MAYO,LABORATORIO TEST,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLAQUETAS AFERESIS,2.0,2.0
20.0,92.6605504587156,92.6605504587156,2017.0,JUNIO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,109.0,101.0
20.0,100.0,100.0,2017.0,JUNIO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,8.0,8.0
20.0,85.18518518518519,85.18518518518519,2017.0,JUNIO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,PLAQUETAS AFERESIS,27.0,23.0
20.0,86.11111111111111,86.11111111111111,2017.0,JUNIO,LABORATORIO TEST,ANTIOQUIA,76-001-23 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE CALI,GLOBULOS ROJOS POBRES EN LEUCOCITOS,36.0,31.0
20.0,100.0,100.0,2017.0,JUNIO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),36.0,36.0
20.0,100.0,100.0,2017.0,JUNIO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,PLAQUETAS AFERESIS,12.0,12.0
20.0,83.33333333333334,83.33333333333334,2017.0,JUNIO,LABORATORIO TEST,ANTIOQUIA,76-001-23 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE CALI,PLASMA FRESCO CONGELADO,12.0,10.0
20.0,100.0,100.0,2017.0,JUNIO,LABORATORIO TEST,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,1.0,1.0
8.0,100.0,100.0,2017.0,ENERO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,90.0,90.0
8.0,100.0,100.0,2017.0,ENERO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),40.0,40.0
8.0,100.0,100.0,2017.0,ENERO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLASMA FRESCO CONGELADO,40.0,40.0
8.0,100.0,100.0,2017.0,ENERO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,CRIOPRECIPITADO,10.0,10.0
8.0,100.0,100.0,2017.0,ENERO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLAQUETAS AFERESIS,24.0,24.0
8.0,100.0,100.0,2017.0,FEBRERO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,100.0,100.0
8.0,100.0,100.0,2017.0,FEBRERO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),30.0,30.0
8.0,100.0,100.0,2017.0,FEBRERO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLAQUETAS AFERESIS,6.0,6.0
8.0,100.0,100.0,2017.0,FEBRERO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLASMA FRESCO CONGELADO,70.0,70.0
8.0,100.0,100.0,2017.0,FEBRERO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,CRIOPRECIPITADO,20.0,20.0
8.0,100.0,100.0,2017.0,MARZO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,120.0,120.0
8.0,100.0,100.0,2017.0,MARZO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),35.0,35.0
8.0,100.0,100.0,2017.0,MARZO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLASMA FRESCO CONGELADO,90.0,90.0
8.0,100.0,100.0,2017.0,MARZO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,CRIOPRECIPITADO,60.0,60.0
8.0,100.0,100.0,2017.0,MARZO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLAQUETAS AFERESIS,45.0,45.0
8.0,100.0,100.0,2017.0,ABRIL,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,80.0,80.0
8.0,100.0,100.0,2017.0,ABRIL,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),35.0,35.0
8.0,100.0,100.0,2017.0,ABRIL,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLAQUETAS AFERESIS,9.0,9.0
8.0,100.0,100.0,2017.0,ABRIL,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,CRIOPRECIPITADO,15.0,15.0
8.0,100.0,100.0,2017.0,MAYO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,120.0,120.0
8.0,100.0,100.0,2017.0,MAYO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),23.0,23.0
8.0,100.0,100.0,2017.0,MAYO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLAQUETAS AFERESIS,11.0,11.0
8.0,100.0,100.0,2017.0,MAYO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,CRIOPRECIPITADO,10.0,10.0
8.0,100.0,100.0,2017.0,MAYO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLASMA FRESCO CONGELADO,15.0,15.0
8.0,100.0,100.0,2017.0,JUNIO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,65.0,65.0
8.0,100.0,100.0,2017.0,JUNIO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),40.0,40.0
8.0,100.0,100.0,2017.0,JUNIO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLAQUETAS AFERESIS,8.0,8.0
8.0,100.0,100.0,2017.0,JUNIO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLASMA FRESCO CONGELADO,15.0,15.0
8.0,100.0,100.0,2017.0,JULIO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,110.0,110.0
8.0,100.0,100.0,2017.0,JULIO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),20.0,20.0
8.0,100.0,100.0,2017.0,JULIO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLASMA FRESCO CONGELADO,10.0,10.0
8.0,100.0,100.0,2017.0,JULIO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLAQUETAS AFERESIS,3.0,3.0
8.0,100.0,100.0,2017.0,AGOSTO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,100.0,100.0
8.0,100.0,100.0,2017.0,AGOSTO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),30.0,30.0
8.0,100.0,100.0,2017.0,AGOSTO,CLINICA MEDELLIN S.A,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,PLAQUETAS AFERESIS,3.0,3.0
